course_id,course_semester,course_subject_id,course_name_ch,course_name_en,course_teacher,course_credit,course_begin_time,course_end_time,course_weekday,location_id,course_dept,course_type,general_category,central_general,course_maxnum
,,000219582,經濟學,Economics,溫偉任,3.0,fri09-12 fri 09 10 11,,,綜合270415,國貿系,必/Required,,否/No,
,,000221002,財政學,Public Finance,黃智聰,3.0,tue13-16 tue 13 14 15,,,綜合270103,財政系,必/Required,,否/No,
,,000221012,財政學,Public Finance,陳國樑,3.0,wed09-12 wed 09 10 11,,,大智190305,財政系,必/Required,,否/No,
,,000221022,財政學,Public Finance,徐麗振,3.0,mon13-16 mon 13 14 15,,,綜合270211,財政系,必/Required,,否/No,
,,000221032,財政學,Public Finance,陳香梅,3.0,tue09-12 tue 09 10 11,,,大智190305,財政系,必/Required,,否/No,
,,000224001,行政學,Public,黃東益,3.0,wed09-12 wed 09 10 11,,,綜合270751,公行系,選/Elective,,否/No,
,,000225002,社會學,Sociology,馬藹萱,3.0,tue08-11 tue 08 09 10,,,綜合270751,社會系,必/Required,,否/No,
,,000225012,社會學,Sociology,陳宗文,3.0,wed09-12 wed 09 10 11,,,綜合270415,社會系,必/Required,,否/No,
,,000226021,政治學,Political science,韋洪武,3.0,thu13-16 thu 13 14 15,,,大勇210202,政治系,必/Required,,否/No,
,,000227001,國際關係,International,蘇卓馨,3.0,tue13-16 tue 13 14 15,,,綜合270751,外交系,必/Required,,否/No,
,,000227011,國際關係,International,楊文琪,3.0,mon13-16 mon 13 14 15,,,大勇210202,外交系,必/Required,,否/No,
,,000304011,軟體應用導論,Software Application,林湘霖,3.0,fri09-12 fri 09 10 11,,,資管電腦室,資管系,選/Elective,,否/No,
,,000304021,軟體應用導論,Software Application,林仁祥,3.0,wed18-21 wed 18 19 20,,,資管電腦室,資管系,選/Elective,,否/No,
,,000305001,資料處理,Data Processing,尚孝純,3.0,wed13-16 wed 13 14 15,,,資管電腦室,資管系,選/Elective,,否/No,
,,000305011,資料處理,Data Processing,杜雨儒,3.0,tue13-16 tue 13 14 15,,,資管電腦室,資管系,選/Elective,,否/No,
,,000305021,資料處理,Data Processing,杜雨儒、張欣,3.0,thu13-16 thu 13 14 15,,,資管電腦室,資管系,選/Elective,,否/No,
,,000305031,資料處理,Data Processing,周彥君、莊皓,3.0,thu09-12 thu 09 10 11,,,資管電腦室,資管系,選/Elective,,否/No,
,,000305041,資料處理,Data Processing,林湘霖,3.0,fri14-17 fri 14 15 16,,,資管電腦室,資管系,選/Elective,,否/No,
,,000314011,初級會計學（,Fundamental,林良楓、諶家,3.0,tue09-12 tue 09 10 11,,,商館260311,會計系,必/Required,,否/No,
,,000318001,初級會計學（,Fundamental,梁嘉紋,3.0,wed09-12 wed 09 10 11,,,學思040103,會計系,必/Required,,否/No,
,,000318011,初級會計學（,Fundamental,張祐慈、陳宇,3.0,mon13-16 mon 13 14 15,,,商館260105,會計系,必/Required,,否/No,
,,000318021,初級會計學（,Fundamental,張祐慈、陳宇,3.0,mon18-21 mon 18 19 20,,,商館260105,會計系,必/Required,,否/No,
,,000318031,初級會計學（,Fundamental,何怡澄,3.0,tue09-12 tue 09 10 11,,,研究250103,會計系,必/Required,,否/No,
,,000318041,初級會計學（,Fundamental,何怡澄,3.0,wed09-12 wed 09 10 11,,,研究250103,會計系,必/Required,,否/No,
,,000318051,初級會計學（,Fundamental,張祐慈、陳宇,3.0,wed09-12 wed 09 10 11,,,商館260105,會計系,必/Required,,否/No,
,,000318061,初級會計學（,Fundamental,潘健民,3.0,wed09-12 wed 09 10 11,,,商館260205,會計系,必/Required,,否/No,
,,000318071,初級會計學（,Fundamental,郭弘卿,3.0,wed13-16 wed 13 14 15,,,資訊140206,會計系,必/Required,,否/No,
,,000318081,初級會計學（,Fundamental,張祐慈、陳宇,3.0,wed16-19 wed 16 17 18,,,商館260105,會計系,必/Required,,否/No,
,,000318091,初級會計學（,Fundamental,林禹銘,3.0,wed18-21 wed 18 19 20,,,大勇210206,會計系,必/Required,,否/No,
,,000318101,初級會計學（,Fundamental,田耕銘,3.0,thu09-12 thu 09 10 11,,,研究250105,會計系,必/Required,,否/No,
,,000318111,初級會計學（,Fundamental,郭弘卿,3.0,thu13-16 thu 13 14 15,,,資訊140206,會計系,必/Required,,否/No,
,,000318121,初級會計學（,Fundamental,廖柏蒼,3.0,thu13-16 thu 13 14 15,,,學思040103,會計系,必/Required,,否/No,
,,000318131,初級會計學（,Fundamental,廖柏蒼,3.0,thu18-21 thu 18 19 20,,,商館260306,會計系,必/Required,,否/No,
,,000318141,初級會計學（,Fundamental,戚務君,3.0,fri09-12 fri 09 10 11,,,學思040103,會計系,必/Required,,否/No,
,,000321012,統計學,Statistics,薛慧敏,3.0,tue09-12 tue 09 10 11,,,資訊140401,統計系,必/Required,,否/No,
,,000321022,統計學,Statistics,江振東,3.0,tue09-12 tue 09 10 11,,,資訊140306,統計系,必/Required,,否/No,
,,000321032,統計學,Statistics,陳麗霞,3.0,tue09-12 tue 09 10 11,,,研究250101,統計系,必/Required,,否/No,
,,000321042,統計學,Statistics,劉惠美,3.0,tue09-12 tue 09 10 11,,,商館260207,統計系,必/Required,,否/No,
,,000321052,統計學,Statistics,鄭宗記,3.0,tue13-16 tue 13 14 15,,,學思040103,統計系,必/Required,,否/No,
,,000321062,統計學,Statistics,周珮婷,3.0,thu13-16 thu 13 14 15,,,研究250103,統計系,必/Required,,否/No,
,,000321072,統計學,Statistics,鄭天澤,3.0,wed18-21 wed 18 19 20,,,研究250105,統計系,必/Required,,否/No,
,,000321082,統計學,Statistics,楊素芬,3.0,thu09-12 thu 09 10 11,,,商館260207,統計系,必/Required,,否/No,
,,000321092,統計學,Statistics,陳麗霞,3.0,thu09-12 thu 09 10 11,,,研究250206,統計系,必/Required,,否/No,
,,000321102,統計學,Statistics,洪英超,3.0,tue13-16 tue 13 14 15,,,資訊140401,統計系,必/Required,,否/No,
,,000321112,統計學,Statistics,蔡紋琦,3.0,thu13-16 thu 13 14 15,,,商館260207,統計系,必/Required,,否/No,
,,000321122,統計學,Statistics,丁兆平,3.0,thu13-16 thu 13 14 15,,,研究250105,統計系,必/Required,,否/No,
,,000327011,中級會計學（,Intermediate,陳錦烽,3.0,tue13-16 tue 13 14 15,,,商館260105,會計系,必/Required,,否/No,
,,000327021,中級會計學（,Intermediate,潘健民,3.0,thu09-12 thu 09 10 11,,,商館260205,會計系,必/Required,,否/No,
,,000346011,成本管理會計（,Cost and,梁嘉紋,3.0,mon13-16 mon 13 14 15,,,研究250105,會計系,必/Required,,否/No,
,,000346021,成本管理會計（,Cost and,王文英,3.0,thu09-12 thu 09 10 11,,,學思040202,會計系,必/Required,,否/No,
,,000346031,成本管理會計（,Cost and,王文英,3.0,thu13-16 thu 13 14 15,,,學思040202,會計系,必/Required,,否/No,
,,000347001,財務管理,Financial,蔡政憲,3.0,mon13-16 mon 13 14 15,,,學思040103,財管系,選/Elective,,否/No,
,,000347011,財務管理,Financial,林基煌,3.0,tue18-21 tue 18 19 20,,,綜合270113,財管系,選/Elective,,否/No,
,,000347021,財務管理,Financial,黃慶堂,3.0,tue17-20 tue 17 18 19,,,商館260206,財管系,選/Elective,,否/No,
,,000347031,財務管理,Financial,盧敬植,3.0,thu13-16 thu 13 14 15,,,學思040302,財管系,選/Elective,,否/No,
,,000347041,財務管理,Financial,屠美亞,3.0,wed09-12 wed 09 10 11,,,資訊140301,財管系,選/Elective,,否/No,
,,000347051,財務管理,Financial,陳聖賢,3.0,wed13-16 wed 13 14 15,,,商館260105,財管系,選/Elective,,否/No,
,,000347061,財務管理,Financial,湛可南,3.0,wed09-12 wed 09 10 11,,,學思040202,財管系,選/Elective,,否/No,
,,000348001,管理學,Management,林月雲,3.0,wed13-16 wed 13 14 15,,,商館260311,企管系,必/Required,,否/No,
,,000348011,管理學,Management,傅浚映,3.0,wed09-12 wed 09 10 11,,,學思040303,企管系,必/Required,,否/No,
,,000348021,管理學,Management,曾威智,3.0,wed13-16 wed 13 14 15,,,學思040103,企管系,必/Required,,否/No,
,,000348031,管理學,Management,翁浩邁,3.0,thu18-21 thu 18 19 20,,,商館260312,企管系,必/Required,,否/No,
,,000348041,管理學,Management,詳備註,3.0,wed13-16 wed 13 14 15,,,研究250105,企管系,必/Required,,否/No,
,,000348051,管理學,Management,周文卿,3.0,mon13-16 mon 13 14 15,,,學思040104,企管系,必/Required,,否/No,
,,000348061,管理學,Management,林芝樺,3.0,mon18-21 mon 18 19 20,,,商館260205,企管系,必/Required,,否/No,
,,000348071,管理學,Management,林智偉,3.0,tue13-16 tue 13 14 15,,,學思040104,企管系,必/Required,,否/No,
,,000348081,管理學,Management,楊昇翰,3.0,tue18-21 tue 18 19 20,,,商館260311,企管系,必/Required,,否/No,
,,000348091,管理學,Management,黃韋仁,3.0,mon13-16 mon 13 14 15,,,學思040205,企管系,必/Required,,否/No,
,,000348101,管理學,Management,洪妤萱,3.0,thu13-16 thu 13 14 15,,,,企管系,必/Required,,否/No,
,,000348111,管理學,Management,詳備註,3.0,wed09-12 wed 09 10 11,,,資訊140407,企管系,必/Required,,否/No,
,,000350001,行銷管理,Marketing,洪順慶,3.0,wed13-16 wed 13 14 15,,,研究250305,企管系,必/Required,,否/No,
,,000350011,行銷管理,Marketing,白佩玉,3.0,thu13-16 thu 13 14 15,,,,企管系,必/Required,,否/No,
,,000350021,行銷管理,Marketing,白佩玉,3.0,tue13-16 tue 13 14 15,,,研究250201,企管系,必/Required,,否/No,
,,000350031,行銷管理,Marketing,簡睿哲,3.0,thu13-16 thu 13 14 15,,,商館260210,企管系,必/Required,,否/No,
,,000350041,行銷管理,Marketing,李嘉林,3.0,mon13-16 mon 13 14 15,,,研究250305,企管系,必/Required,,否/No,
